post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47646363,Modern Generic SVGA driver for Windows 3.1,sports,70,19,userbinator,2026-04-06 09:20:43.089967,3.5,False
47628608,OpenClaw privilege escalation vulnerability,worldnews,510,254,kykeonaut,2026-04-06 09:20:45.589730,2.0,True
47625952,Show HN: I built a frontpage for personal blogs,entertainment,768,193,ramkarthikk,2026-04-06 09:20:50.360836,3.9587628865979383,True
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-06 09:20:51.978003,4.8,False
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,215,142,pseudolus,2026-04-06 09:20:55.881353,1.5034965034965035,True
47611993,VR Realizes the Cyberspace Metaphor,worldnews,17,17,dryadin,2026-04-06 09:21:03.335765,0.9444444444444444,False
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06 09:21:05.691688,1.7,False
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,70,39,1659447091,2026-04-06 09:21:10.534058,1.75,False
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,160,6,teamchong,2026-04-06 09:21:11.352531,22.857142857142858,False
47653816,UK intelligence censored report on global warming and homeland security,worldnews,90,47,ewidar,2026-04-06 09:21:13.097056,1.875,False
47601194,"The Cathedral, the Bazaar, and the Winchester Mystery House",sports,184,65,dbreunig,2026-04-06 09:21:17.493661,2.787878787878788,True
47641464,Scientists observe an immune signaling complex forming inside cells,science,113,7,ohjeez,2026-04-06 09:21:18.316384,14.125,False
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-06 09:21:24.731857,2.255813953488372,False
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,545,182,detaro,2026-04-06 09:21:28.863898,2.978142076502732,True
47633676,"Extra usage credit for Pro, Max, and Team plans",worldnews,64,61,angst,2026-04-06 09:21:36.542949,1.032258064516129,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,589,207,pretext,2026-04-06 09:21:41.464121,2.831730769230769,True
47609356,Artemis II's toilet is a moon mission milestone,science,325,173,1659447091,2026-04-06 09:22:02.271177,1.867816091954023,True
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",worldnews,61,6,xbmcuser,2026-04-06 09:22:04.907648,8.714285714285714,False
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,52,52,luca-ctx,2026-04-06 09:22:08.362905,0.9811320754716981,False
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,11,0,Jet_Xu,2026-04-06 09:22:11.564843,11.0,False
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,193,75,MaximilianEmel,2026-04-06 09:22:13.855717,2.539473684210526,True
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,118,kasparnoor,2026-04-06 09:22:18.532748,1.2773109243697478,False
47643637,Show HN: Dev Personality Test,entertainment,11,3,4m1rk,2026-04-06 09:22:20.111561,2.75,False
